currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
93,90,24,7,New Patek                                                   LIL UZI VERT,2018-09-29,38,24,7,New Patek, LIL UZI VERT,
94,NEW,94,1,Be Alright                                                  DEAN LEWIS,2018-11-10,94,63,9,Be Alright,DEAN LEWIS,
95,76,49,16,Break Up In The End                                         COLE SWINDELL,2018-07-28,91,49,16,Break Up In The End, COLE SWINDELL,
96,94,68,4,Desperate Man                                               ERIC CHURCH,2018-10-20,68,68,4,Desperate Man, ERIC CHURCH,
97,NEW,97,1,Kamikaze                                                    LIL MOSEY,2018-11-10,97,97,1,Kamikaze,LIL MOSEY,
98,NEW,98,1,This Feeliing                                               THE CHAINSMOKERS featuring KELSEA BALLERINI,2018-11-10,98,66,9,This Feeliing, THE CHAINSMOKERS featuring KELSEA BALLERINI,
99,97,97,3,Electricity                                                 SILK CITY x DUA LIPA,2018-10-27,97,97,3,Electricity, SILK CITY x DUA LIPA,
100,99,98,3,Drowns The Whiskey                                          JASON ALDEAN featuring MIRANDA LAMBERT,2018-10-27,98,98,3,Drowns The Whiskey,JASON ALDEAN featuring MIRANDA LAMBERT,
1,1,1,22,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
2,7,2,12,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
3,3,2,24,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
4,6,4,10,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
5,4,3,26,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
6,2,2,2,Zeze                                                        KODAK BLACK featuring TRAVIS SCOTT & OFFSET,2018-10-27,2,2,11,Zeze,KODAK BLACK featuring TRAVIS SCOTT & OFFSET,
7,9,7,21,Youngblood                                                  5 SECONDS OF SUMMER,2018-06-16,96,7,30,Youngblood,5 SECONDS OF SUMMER,
8,8,4,6,Drip Too Hard                                               LIL BABY & GUNNA,2018-09-29,28,4,15,Drip Too Hard, LIL BABY & GUNNA,
9,NEW,9,1,Sunflower (Spider-Man: Into The Spider-Verse)               POST MALONE & SWAE LEE,2018-11-03,9,4,10,Sunflower (Spider-Man: Into The Spider-Verse), POST MALONE & SWAE LEE,
10,14,9,36,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
11,16,11,4,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",2018-10-13,27,11,13,Taki Taki," DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",
12,23,12,3,Without Me                                                  HALSEY,2018-10-20,18,2,12,Without Me,HALSEY,
13,5,5,2,MIA                                                         BAD BUNNY featuring DRAKE,2018-10-27,5,5,11,MIA, BAD BUNNY featuring DRAKE,
14,10,5,4,Shallow                                                     LADY GAGA & BRADLEY COOPER,2018-10-13,28,5,13,Shallow, LADY GAGA & BRADLEY COOPER,
15,13,13,14,Natural                                                     IMAGINE DRAGONS,2018-08-04,37,13,23,Natural, IMAGINE DRAGONS,
16,21,16,9,Mo Bamba                                                    SHECK WES,2018-09-08,82,6,18,Mo Bamba,SHECK WES,
17,12,1,29,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
18,11,11,12,Trip                                                        ELLA MAI,2018-08-18,79,11,21,Trip,ELLA MAI,
19,17,8,22,Taste                                                       TYGA featuring OFFSET,2018-06-09,82,8,29,Taste, TYGA featuring OFFSET,
20,22,20,15,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
21,27,21,10,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
22,20,2,17,Nonstop                                                     DRAKE,2018-07-14,2,2,22,Nonstop, DRAKE,
23,15,1,17,In My Feelings                                              DRAKE,2018-07-14,6,1,22,In My Feelings,DRAKE,
24,19,8,15,God Is A Woman                                              ARIANA GRANDE,2018-07-28,11,8,22,God Is A Woman,ARIANA GRANDE,
25,18,3,14,FeFe                                                        6IX9INE featuring NICKI MINAJ & MURDA BEATZ,2018-08-04,4,3,20,FeFe,6IX9INE featuring NICKI MINAJ & MURDA BEATZ,
26,NEW,26,1,Fine China                                                  FUTURE & JUICE WRLD,2018-11-03,26,26,10,Fine China,FUTURE & JUICE WRLD,
27,28,6,24,Yes Indeed                                                  LIL BABY & DRAKE,2018-05-26,49,6,29,Yes Indeed,LIL BABY & DRAKE,
28,24,18,24,Back To You                                                 SELENA GOMEZ,2018-05-26,50,18,26,Back To You, SELENA GOMEZ,
29,29,16,18,"Big Bank                                                    YG featuring 2 CHAINZ, BIG SEAN & NICKI  MINAJ",2018-07-07,56,16,21,Big Bank,"YG featuring 2 CHAINZ, BIG SEAN & NICKI MINAJ",
30,33,30,15,Broken                                                      LOVELYTHEBAND,2018-07-28,84,29,22,Broken,LOVELYTHEBAND,
31,32,31,12,Beautiful                                                   BAZZI featuring CAMILA CABELLO,2018-08-18,60,30,21,Beautiful, BAZZI featuring CAMILA CABELLO,
32,25,5,30,Boo'd Up                                                    ELLA MAI,2018-04-14,78,5,35,Boo'd Up,ELLA MAI,
33,36,7,4,Uproar                                                      LIL WAYNE,2018-10-13,7,7,13,Uproar,LIL WAYNE,
34,71,34,6,Better                                                      KHALID,2018-09-29,45,29,15,Better,KHALID,
35,26,6,7,I Love It                                                   KANYE WEST & LIL PUMP,2018-09-22,6,6,12,I Love It, KANYE WEST & LIL PUMP,
36,37,36,15,I'm A Mess                                                  BEBE REXHA,2018-07-28,92,35,20,I'm A Mess,BEBE REXHA,
37,44,37,11,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
38,34,12,33,Delicate                                                    TAYLOR SWIFT,2018-03-24,84,12,35,Delicate,TAYLOR SWIFT,
39,41,30,6,Wake Up In The Sky                                          GUCCI MANE & BRUNO MARS & KODAK BLACK,2018-09-29,30,11,15,Wake Up In The Sky,GUCCI MANE & BRUNO MARS & KODAK BLACK,
40,39,27,37,I Like Me Better                                            LAUV,2018-02-24,96,27,41,I Like Me Better,LAUV,
41,52,22,10,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
42,30,28,3,Close Friends                                               LIL BABY,2018-10-20,28,28,11,Close Friends, LIL BABY,
43,40,1,34,Sad!                                                        XXXTENTACION,2018-03-17,17,1,38,Sad!,XXXTENTACION,
44,38,1,35,Psycho                                                      POST MALONE featuring TY DOLLA $IGN,2018-03-10,2,1,39,Psycho,POST MALONE featuring TY DOLLA $IGN,
45,46,45,10,Ring                                                        CARDI B featuring KEHLANI,2018-09-01,85,36,16,Ring,CARDI B featuring KEHLANI,
46,47,21,32,Tequila                                                     DAN + SHAY,2018-03-31,87,21,37,Tequila, DAN + SHAY,
47,43,5,39,"The Middle                                                  ZEDD, MAREN MORRIS & GREY",2018-02-10,23,5,40,The Middle,"ZEDD, MAREN MORRIS & GREY",
48,51,25,3,Stoopid                                                     6IX9INE featuring BOBBY SHMURDA,2018-10-20,25,25,9,Stoopid, 6IX9INE featuring BOBBY SHMURDA,
49,35,15,3,Never Recover                                               LIL BABY & GUNNA featuring DRAKE,2018-10-20,15,15,8,Never Recover, LIL BABY & GUNNA featuring DRAKE,
50,49,3,27,No Tears Left To Cry                                        ARIANA GRANDE,2018-05-05,3,3,27,No Tears Left To Cry,ARIANA GRANDE,
51,58,51,11,Lie                                                         NF,2018-08-25,96,48,18,Lie, NF,
52,63,52,7,Speechless                                                  DAN + SHAY,2018-09-22,95,33,16,Speechless,DAN + SHAY,
53,76,53,6,Leave Me Alone                                              FLIPP DINERO,2018-09-29,96,27,15,Leave Me Alone,FLIPP DINERO,
54,NEW,54,1,Money                                                       CARDI B,2018-11-03,54,13,10,Money, CARDI B,
55,42,2,4,Mona Lisa                                                   LIL WAYNE featuring KENDRICK LAMAR,2018-10-13,2,2,8,Mona Lisa, LIL WAYNE featuring KENDRICK LAMAR,
56,66,56,14,Lose It                                                     KANE BROWN,2018-08-04,98,28,19,Lose It, KANE BROWN,
57,50,41,3,Always Remember Us This Way                                 LADY GAGA,2018-10-20,41,41,6,Always Remember Us This Way, LADY GAGA,
58,59,56,9,Smile (Living My Best Life)                                 LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,2018-09-08,83,56,17,Smile (Living My Best Life), LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,
59,53,52,11,W O R K I N M E                                             QUAVO,2018-08-25,72,52,15,W O R K I N M E, QUAVO,
60,62,52,16,Jackie Chan                                                 TIESTO & DZEKO featuring PREME & POST MALONE,2018-07-21,88,52,19,Jackie Chan, TIESTO & DZEKO featuring PREME & POST MALONE,
61,69,61,6,Best Shot                                                   JIMMIE ALLEN,2018-09-29,97,46,15,Best Shot, JIMMIE ALLEN,
62,68,62,4,Lost In Japan                                               SHAWN MENDES x ZEDD,2018-10-13,99,48,13,Lost In Japan, SHAWN MENDES x ZEDD,
63,72,63,10,Drunk Me                                                    MITCHELL TENPENNY,2018-09-01,83,53,19,Drunk Me,MITCHELL TENPENNY,
64,64,46,11,Drew Barrymore                                              BRYCE VINE,2018-08-25,91,46,14,Drew Barrymore,BRYCE VINE,
65,NEW,65,1,When The Party's Over                                       BILLIE EILISH,2018-11-03,65,52,10,When The Party's Over, BILLIE EILISH,
66,55,13,6,Falling Down                                                LIL PEEP & XXXTENTACION,2018-09-29,47,13,11,Falling Down,LIL PEEP & XXXTENTACION,
67,54,36,3,I'll Never Love Again                                       LADY GAGA,2018-10-20,36,36,6,I'll Never Love Again, LADY GAGA,
68,67,47,5,No Stylist                                                  FRENCH MONTANA featuring DRAKE,2018-10-06,47,47,14,No Stylist,FRENCH MONTANA featuring DRAKE,
69,73,69,9,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,2018-09-08,88,31,18,Dangerous, MEEK MILL featuring JEREMIH & PNB ROCK,
70,65,52,10,Blue Tacoma                                                 RUSSELL DICKERSON,2018-09-01,77,52,15,Blue Tacoma, RUSSELL DICKERSON,
71,78,71,8,Hangin' On                                                  CHRIS YOUNG,2018-09-15,97,63,13,Hangin' On,CHRIS YOUNG,
72,NEW,72,1,Jet Lag                                                     FUTURE & JUICE WRLD featuring YOUNG SCOOTER,2018-11-03,72,72,1,Jet Lag, FUTURE & JUICE WRLD featuring YOUNG SCOOTER,
73,45,5,13,"No Brainer                                                  DJ KHALED featuring JUSTIN BIEBER, CHANCE THE RAPPER & QUAVO",2018-08-11,5,5,15,No Brainer,"DJ KHALED featuring JUSTIN BIEBER, CHANCE THE RAPPER & QUAVO",
74,57,43,3,Venom                                                       EMINEM,2018-10-20,43,43,4,Venom, EMINEM,
75,75,44,15,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
76,56,49,15,Break Up In The End                                         COLE SWINDELL,2018-07-28,91,49,16,Break Up In The End, COLE SWINDELL,
77,80,65,10,Promises                                                    CALVIN HARRIS & SAM SMITH,2018-09-01,65,65,12,Promises,CALVIN HARRIS & SAM SMITH,
78,74,6,8,Lucky You                                                   EMINEM featuring JOYNER LUCAS,2018-09-15,6,6,12,Lucky You, EMINEM featuring JOYNER LUCAS,
79,70,3,6,Killshot                                                    EMINEM,2018-09-29,3,3,8,Killshot,EMINEM,
80,92,80,3,Noticed                                                     LIL MOSEY,2018-10-20,100,80,8,Noticed, LIL MOSEY,
81,85,81,2,Rich                                                        MAREN MORRIS,2018-10-27,85,62,7,Rich,MAREN MORRIS,
82,NEW,82,1,Astronauts                                                  FUTURE & JUICE WRLD,2018-11-03,82,82,1,Astronauts,FUTURE & JUICE WRLD,
83,NEW,83,1,Saturday Nights                                             KHALID,2018-11-03,83,83,1,Saturday Nights, KHALID,
84,79,48,17,Hotel Key                                                   OLD DOMINION,2018-07-14,93,48,19,Hotel Key, OLD DOMINION,
85,81,75,14,Best Part                                                   DANIEL CAESAR featuring H.E.R.,2018-08-04,81,75,19,Best Part, DANIEL CAESAR featuring H.E.R.,
86,82,69,13,That's On Me                                                YELLA BEEZY,2018-08-11,92,56,20,That's On Me,YELLA BEEZY,
87,87,82,9,Drunk Girl                                                  CHRIS JANSON,2018-09-08,86,79,10,Drunk Girl,CHRIS JANSON,
88,NEW,88,1,Suncity                                                     KHALID featuring EMPRESS OF,2018-11-03,88,88,1,Suncity, KHALID featuring EMPRESS OF,
89,NEW,89,1,Vertigo                                                     KHALID,2018-11-03,89,89,1,Vertigo, KHALID,
90,77,24,6,New Patek                                                   LIL UZI VERT,2018-09-29,38,24,7,New Patek, LIL UZI VERT,
91,NEW,91,1,Yacht Club                                                  LIL YACHTY featuring JUICE WRLD,2018-11-03,91,91,1,Yacht Club,LIL YACHTY featuring JUICE WRLD,
92,NEW,92,1,Make It Back                                                JUICE WRLD,2018-11-03,92,92,1,Make It Back,JUICE WRLD,
93,NEW,93,1,Kiss And Make Up                                            DUA LIPA & BLACKPINK,2018-11-03,93,93,1,Kiss And Make Up,DUA LIPA & BLACKPINK,
94,89,68,3,Desperate Man                                               ERIC CHURCH,2018-10-20,68,68,4,Desperate Man, ERIC CHURCH,
95,NEW,95,1,Backin' It Up                                               PARDISON FONTAINE faeturing CARDI B,2018-11-03,95,64,10,Backin' It Up, PARDISON FONTAINE faeturing CARDI B,
96,84,51,14,Africa                                                      WEEZER,2018-08-04,86,51,14,Africa,WEEZER,
97,97,97,2,Electricity                                                 SILK CITY x DUA LIPA,2018-10-27,97,97,3,Electricity, SILK CITY x DUA LIPA,
98,NEW,98,1,Get Dripped                                                 LIL TACHTY featuring PLAYBOI CARTI,2018-11-03,98,98,1,Get Dripped, LIL TACHTY featuring PLAYBOI CARTI,
99,98,98,2,Drowns The Whiskey                                          JASON ALDEAN featuring MIRANDA LAMBERT,2018-10-27,98,98,3,Drowns The Whiskey,JASON ALDEAN featuring MIRANDA LAMBERT,
100,NEW,100,1,Burning Man                                                 DIERKS BENTLEY featuring BROTHERS OSBORNE,2018-11-03,100,65,10,Burning Man, DIERKS BENTLEY featuring BROTHERS OSBORNE,
1,1,1,21,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
2,NEW,2,1,Zeze                                                        KODAK BLACK featuring TRAVIS SCOTT & OFFSET,2018-10-27,2,2,11,Zeze,KODAK BLACK featuring TRAVIS SCOTT & OFFSET,
3,2,2,23,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
4,3,3,25,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
5,NEW,5,1,MIA                                                         BAD BUNNY featuring DRAKE,2018-10-27,5,5,11,MIA, BAD BUNNY featuring DRAKE,
6,8,6,9,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
7,6,4,11,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
8,4,4,5,Drip Too Hard                                               LIL BABY & GUNNA,2018-09-29,28,4,15,Drip Too Hard, LIL BABY & GUNNA,
9,7,7,20,Youngblood                                                  5 SECONDS OF SUMMER,2018-06-16,96,7,30,Youngblood,5 SECONDS OF SUMMER,
10,5,5,3,Shallow                                                     LADY GAGA & BRADLEY COOPER,2018-10-13,28,5,13,Shallow, LADY GAGA & BRADLEY COOPER,
11,16,11,11,Trip                                                        ELLA MAI,2018-08-18,79,11,21,Trip,ELLA MAI,
12,9,1,28,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
13,13,13,13,Natural                                                     IMAGINE DRAGONS,2018-08-04,37,13,23,Natural, IMAGINE DRAGONS,
14,12,9,35,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
15,11,1,16,In My Feelings                                              DRAKE,2018-07-14,6,1,22,In My Feelings,DRAKE,
16,31,16,3,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",2018-10-13,27,11,13,Taki Taki," DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",
17,14,8,21,Taste                                                       TYGA featuring OFFSET,2018-06-09,82,8,29,Taste, TYGA featuring OFFSET,
18,10,3,13,FeFe                                                        6IX9INE featuring NICKI MINAJ & MURDA BEATZ,2018-08-04,4,3,20,FeFe,6IX9INE featuring NICKI MINAJ & MURDA BEATZ,
19,22,8,14,God Is A Woman                                              ARIANA GRANDE,2018-07-28,11,8,22,God Is A Woman,ARIANA GRANDE,
20,19,2,16,Nonstop                                                     DRAKE,2018-07-14,2,2,22,Nonstop, DRAKE,
21,24,21,8,Mo Bamba                                                    SHECK WES,2018-09-08,82,6,18,Mo Bamba,SHECK WES,
22,20,20,14,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
23,18,18,2,Without Me                                                  HALSEY,2018-10-20,18,2,12,Without Me,HALSEY,
24,21,18,23,Back To You                                                 SELENA GOMEZ,2018-05-26,50,18,26,Back To You, SELENA GOMEZ,
25,30,5,29,Boo'd Up                                                    ELLA MAI,2018-04-14,78,5,35,Boo'd Up,ELLA MAI,
26,17,6,6,I Love It                                                   KANYE WEST & LIL PUMP,2018-09-22,6,6,12,I Love It, KANYE WEST & LIL PUMP,
27,35,27,9,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
28,26,6,23,Yes Indeed                                                  LIL BABY & DRAKE,2018-05-26,49,6,29,Yes Indeed,LIL BABY & DRAKE,
29,27,16,17,"Big Bank                                                    YG featuring 2 CHAINZ, BIG SEAN & NICKI  MINAJ",2018-07-07,56,16,21,Big Bank,"YG featuring 2 CHAINZ, BIG SEAN & NICKI MINAJ",
30,28,28,2,Close Friends                                               LIL BABY,2018-10-20,28,28,11,Close Friends, LIL BABY,
31,34,2,52,Meant To Be                                                 BEBE REXHA & FLORIDA GEORGIA LINE,2017-11-11,61,2,52,Meant To Be, BEBE REXHA & FLORIDA GEORGIA LINE,
32,47,32,11,Beautiful                                                   BAZZI featuring CAMILA CABELLO,2018-08-18,60,30,21,Beautiful, BAZZI featuring CAMILA CABELLO,
33,39,33,14,Broken                                                      LOVELYTHEBAND,2018-07-28,84,29,22,Broken,LOVELYTHEBAND,
34,33,12,32,Delicate                                                    TAYLOR SWIFT,2018-03-24,84,12,35,Delicate,TAYLOR SWIFT,
35,15,15,2,Never Recover                                               LIL BABY & GUNNA featuring DRAKE,2018-10-20,15,15,8,Never Recover, LIL BABY & GUNNA featuring DRAKE,
36,29,7,3,Uproar                                                      LIL WAYNE,2018-10-13,7,7,13,Uproar,LIL WAYNE,
37,42,36,14,I'm A Mess                                                  BEBE REXHA,2018-07-28,92,35,20,I'm A Mess,BEBE REXHA,
38,38,1,34,Psycho                                                      POST MALONE featuring TY DOLLA $IGN,2018-03-10,2,1,39,Psycho,POST MALONE featuring TY DOLLA $IGN,
39,40,27,36,I Like Me Better                                            LAUV,2018-02-24,96,27,41,I Like Me Better,LAUV,
40,37,1,33,Sad!                                                        XXXTENTACION,2018-03-17,17,1,38,Sad!,XXXTENTACION,
41,46,30,5,Wake Up In The Sky                                          GUCCI MANE & BRUNO MARS & KODAK BLACK,2018-09-29,30,11,15,Wake Up In The Sky,GUCCI MANE & BRUNO MARS & KODAK BLACK,
42,23,2,3,Mona Lisa                                                   LIL WAYNE featuring KENDRICK LAMAR,2018-10-13,2,2,8,Mona Lisa, LIL WAYNE featuring KENDRICK LAMAR,
43,45,5,38,"The Middle                                                  ZEDD, MAREN MORRIS & GREY",2018-02-10,23,5,40,The Middle,"ZEDD, MAREN MORRIS & GREY",
44,51,44,10,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
45,32,5,12,"No Brainer                                                  DJ KHALED featuring JUSTIN BIEBER, CHANCE THE RAPPER & QUAVO",2018-08-11,5,5,15,No Brainer,"DJ KHALED featuring JUSTIN BIEBER, CHANCE THE RAPPER & QUAVO",
46,52,46,9,Ring                                                        CARDI B featuring KEHLANI,2018-09-01,85,36,16,Ring,CARDI B featuring KEHLANI,
47,49,21,31,Tequila                                                     DAN + SHAY,2018-03-31,87,21,37,Tequila, DAN + SHAY,
48,NEW,48,1,Flip The Switch                                             QUAVO featuring DRAKE,2018-10-27,48,48,1,Flip The Switch, QUAVO featuring DRAKE,
49,44,3,26,No Tears Left To Cry                                        ARIANA GRANDE,2018-05-05,3,3,27,No Tears Left To Cry,ARIANA GRANDE,
50,41,41,2,Always Remember Us This Way                                 LADY GAGA,2018-10-20,41,41,6,Always Remember Us This Way, LADY GAGA,
51,25,25,2,Stoopid                                                     6IX9INE featuring BOBBY SHMURDA,2018-10-20,25,25,9,Stoopid, 6IX9INE featuring BOBBY SHMURDA,
52,55,22,9,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
53,88,52,10,W O R K I N M E                                             QUAVO,2018-08-25,72,52,15,W O R K I N M E, QUAVO,
54,36,36,2,I'll Never Love Again                                       LADY GAGA,2018-10-20,36,36,6,I'll Never Love Again, LADY GAGA,
55,50,13,5,Falling Down                                                LIL PEEP & XXXTENTACION,2018-09-29,47,13,11,Falling Down,LIL PEEP & XXXTENTACION,
56,66,49,14,Break Up In The End                                         COLE SWINDELL,2018-07-28,91,49,16,Break Up In The End, COLE SWINDELL,
57,43,43,2,Venom                                                       EMINEM,2018-10-20,43,43,4,Venom, EMINEM,
58,71,58,10,Lie                                                         NF,2018-08-25,96,48,18,Lie, NF,
59,57,56,8,Smile (Living My Best Life)                                 LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,2018-09-08,83,56,17,Smile (Living My Best Life), LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,
60,48,32,20,Simple                                                      FLORIDA GEORGIA LINE,2018-06-16,55,32,20,Simple,FLORIDA GEORGIA LINE,
61,NEW,61,1,Pass Out                                                    QUAVO featuring 21 SAVAGE,2018-10-27,61,61,1,Pass Out,QUAVO featuring 21 SAVAGE,
62,59,52,15,Jackie Chan                                                 TIESTO & DZEKO featuring PREME & POST MALONE,2018-07-21,88,52,19,Jackie Chan, TIESTO & DZEKO featuring PREME & POST MALONE,
63,69,63,6,Speechless                                                  DAN + SHAY,2018-09-22,95,33,16,Speechless,DAN + SHAY,
64,56,46,10,Drew Barrymore                                              BRYCE VINE,2018-08-25,91,46,14,Drew Barrymore,BRYCE VINE,
65,58,52,9,Blue Tacoma                                                 RUSSELL DICKERSON,2018-09-01,77,52,15,Blue Tacoma, RUSSELL DICKERSON,
66,65,61,13,Lose It                                                     KANE BROWN,2018-08-04,98,28,19,Lose It, KANE BROWN,
67,85,47,4,No Stylist                                                  FRENCH MONTANA featuring DRAKE,2018-10-06,47,47,14,No Stylist,FRENCH MONTANA featuring DRAKE,
68,82,68,3,Lost In Japan                                               SHAWN MENDES x ZEDD,2018-10-13,99,48,13,Lost In Japan, SHAWN MENDES x ZEDD,
69,87,69,5,Best Shot                                                   JIMMIE ALLEN,2018-09-29,97,46,15,Best Shot, JIMMIE ALLEN,
70,53,3,5,Killshot                                                    EMINEM,2018-09-29,3,3,8,Killshot,EMINEM,
71,76,45,5,Better                                                      KHALID,2018-09-29,45,29,15,Better,KHALID,
72,72,67,9,Drunk Me                                                    MITCHELL TENPENNY,2018-09-01,83,53,19,Drunk Me,MITCHELL TENPENNY,
73,75,73,8,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,2018-09-08,88,31,18,Dangerous, MEEK MILL featuring JEREMIH & PNB ROCK,
74,64,6,7,Lucky You                                                   EMINEM featuring JOYNER LUCAS,2018-09-15,6,6,12,Lucky You, EMINEM featuring JOYNER LUCAS,
75,73,44,14,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
76,94,76,5,Leave Me Alone                                              FLIPP DINERO,2018-09-29,96,27,15,Leave Me Alone,FLIPP DINERO,
77,62,24,5,New Patek                                                   LIL UZI VERT,2018-09-29,38,24,7,New Patek, LIL UZI VERT,
78,89,78,7,Hangin' On                                                  CHRIS YOUNG,2018-09-15,97,63,13,Hangin' On,CHRIS YOUNG,
79,70,48,16,Hotel Key                                                   OLD DOMINION,2018-07-14,93,48,19,Hotel Key, OLD DOMINION,
80,83,65,9,Promises                                                    CALVIN HARRIS & SAM SMITH,2018-09-01,65,65,12,Promises,CALVIN HARRIS & SAM SMITH,
81,92,75,13,Best Part                                                   DANIEL CAESAR featuring H.E.R.,2018-08-04,81,75,19,Best Part, DANIEL CAESAR featuring H.E.R.,
82,90,69,12,That's On Me                                                YELLA BEEZY,2018-08-11,92,56,20,That's On Me,YELLA BEEZY,
83,86,54,18,Medicine                                                    QUEEN NAIJA,2018-06-30,100,54,18,Medicine,QUEEN NAIJA,
84,77,51,13,Africa                                                      WEEZER,2018-08-04,86,51,14,Africa,WEEZER,
85,NEW,85,1,Rich                                                        MAREN MORRIS,2018-10-27,85,62,7,Rich,MAREN MORRIS,
86,NEW,86,1,Biggest Alley Oop                                           QUAVO,2018-10-27,86,86,1,Biggest Alley Oop, QUAVO,
87,96,82,8,Drunk Girl                                                  CHRIS JANSON,2018-09-08,86,79,10,Drunk Girl,CHRIS JANSON,
88,NEW,88,1,Rerun                                                       QUAVO featuring TRAVIS SCOTT,2018-10-27,88,88,1,Rerun, QUAVO featuring TRAVIS SCOTT,
89,68,68,2,Desperate Man                                               ERIC CHURCH,2018-10-20,68,68,4,Desperate Man, ERIC CHURCH,
90,NEW,90,1,This Feeling                                                THE CHAINSMOKERS featuring KELSEA BALLERINI,2018-10-27,90,90,1,This Feeling,THE CHAINSMOKERS featuring KELSEA BALLERINI,
91,60,5,3,Don't Cry                                                   LIL WAYNE featuring XXXTENTACION,2018-10-13,5,5,3,Don't Cry, LIL WAYNE featuring XXXTENTACION,
92,100,92,2,Noticed                                                     LIL MOSEY,2018-10-20,100,80,8,Noticed, LIL MOSEY,
93,NEW,93,1,Huncho Dreams                                               QUAVO,2018-10-27,93,93,1,Huncho Dreams, QUAVO,
94,NEW,94,1,Chanel (Go Get It)                                          YOUNG THUG featuring GUNNA & LIL BABY,2018-10-27,94,94,1,Chanel (Go Get It),YOUNG THUG featuring GUNNA & LIL BABY,
95,NEW,95,1,"Thunderclouds                                               LABRINTH, SIA & DIPLO present... LSD",2018-10-27,95,95,1,Thunderclouds," LABRINTH, SIA & DIPLO present... LSD",
96,99,35,16,"Sunrise, Sunburn, Sunset                                    LUKE BRYAN",2018-07-14,86,35,16,"Sunrise, Sunburn, Sunset",LUKE BRYAN,
97,NEW,97,1,Electricity                                                 SILK CITY x DUA LIPA,2018-10-27,97,97,3,Electricity, SILK CITY x DUA LIPA,
98,NEW,98,1,Drowns The Whiskey                                          JASON ALDEAN featuring MIRANDA LAMBERT,2018-10-27,98,98,3,Drowns The Whiskey,JASON ALDEAN featuring MIRANDA LAMBERT,
99,74,56,3,"If I'm Lyin', I'm Flyin'                                    KODAK BLACK",2018-10-13,56,56,3,"If I'm Lyin', I'm Flyin'",KODAK BLACK,
