currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
74,74,74,3,Kiss Somebody                                               MORGAN EVANS,2018-07-14,76,53,8,Kiss Somebody, MORGAN EVANS,
75,97,75,2,OTW                                                         KHALID & TY DOLLA $IGN & 6LACK,2018-07-21,97,75,4,OTW, KHALID & TY DOLLA $IGN & 6LACK,
76,75,16,12,Ball For Me                                                 POST MALONE featuring NICKI MINAJ,2018-05-12,16,16,14,Ball For Me, POST MALONE featuring NICKI MINAJ,
77,85,11,7,All Mine                                                    KANYE WEST,2018-06-16,11,11,9,All Mine,KANYE WEST,
78,90,78,5,Medicine                                                    QUEEN NAIJA,2018-06-30,100,54,18,Medicine,QUEEN NAIJA,
79,NEW,79,1,Nico And The Niners                                         TWENTY ONE PILOTS,2018-07-28,79,79,1,Nico And The Niners, TWENTY ONE PILOTS,
80,55,30,3,Blue Tint                                                   DRAKE,2018-07-14,30,30,3,Blue Tint, DRAKE,
81,91,81,3,Cry Pretty                                                  CARRIE UNDERWOOD,2018-07-14,87,81,8,Cry Pretty,CARRIE UNDERWOOD,
82,56,41,3,After Dark                                                  DRAKE featuring STATIC MAJOR & TY DOLLA $IGN,2018-07-14,41,41,3,After Dark,DRAKE featuring STATIC MAJOR & TY DOLLA $IGN,
83,99,83,4,Sin Pijama                                                  BECKY G + NATTI NATASHA,2018-07-07,83,70,10,Sin Pijama,BECKY G + NATTI NATASHA,
84,NEW,84,1,Broken                                                      LOVELYTHEBAND,2018-07-28,84,29,22,Broken,LOVELYTHEBAND,
85,NEW,85,1,Hooked                                                      DYLAN SCOTT,2018-07-28,85,48,11,Hooked,DYLAN SCOTT,
86,66,66,13,Alone                                                       HALSEY featuring BIG SEAN & STEFFLON DON,2018-05-05,92,66,13,Alone, HALSEY featuring BIG SEAN & STEFFLON DON,
87,NEW,87,1,Ocean                                                       TK KRAVITZ featuring JACQUEEZ,2018-07-28,87,76,3,Ocean, TK KRAVITZ featuring JACQUEEZ,
88,92,88,2,Ocean                                                       MARTIN GARRIX featuring KHALID,2018-07-21,92,85,4,Ocean, MARTIN GARRIX featuring KHALID,
89,80,66,13,Everything's Gonna Be Alright                               DAVID LEE MURPHY & KENNY CHESNEY,2018-05-05,95,66,13,Everything's Gonna Be Alright, DAVID LEE MURPHY & KENNY CHESNEY,
90,NEW,90,1,1942                                                        G-EAZY featuring YO GOTTI & YBN NAHMIR,2018-07-28,90,70,8,1942,G-EAZY featuring YO GOTTI & YBN NAHMIR,
91,NEW,91,1,Break Up In The End                                         COLE SWINDELL,2018-07-28,91,49,16,Break Up In The End, COLE SWINDELL,
92,NEW,92,1,I'm A Mess                                                  BEBE REXHA,2018-07-28,92,35,20,I'm A Mess,BEBE REXHA,
93,NEW,93,1,Narcos                                                      MIGOS,2018-07-28,93,91,3,Narcos,MIGOS,
94,NEW,94,1,Remind Me To Forget                                         KYGO featuring MIGUEL,2018-07-28,94,63,11,Remind Me To Forget, KYGO featuring MIGUEL,
95,95,4,16,Call Out My Name                                            THE WEEKND,2018-04-14,4,4,18,Call Out My Name,THE WEEKND,
96,NEW,96,1,Praise The Lord (Da Shine)                                  A$AP ROCKY featuring SKEPTA,2018-07-28,96,84,3,Praise The Lord (Da Shine),A$AP ROCKY featuring SKEPTA,
97,NEW,97,1,Zombie                                                      BAD WOLVES,2018-07-28,97,97,1,Zombie,BAD WOLVES,
98,59,21,3,8 Out Of 10                                                 DRAKE,2018-07-14,21,21,3,8 Out Of 10, DRAKE,
99,65,65,2,31 Days                                                     FUTURE,2018-07-21,65,65,2,31 Days, FUTURE,
100,58,20,3,Talk Up                                                     DRAKE featuring JAY-Z,2018-07-14,20,20,3,Talk Up, DRAKE featuring JAY-Z,
1,1,1,8,"Thank U, Next                                               ARIANA GRANDE",2018-11-17,1,1,8,"Thank U, Next", ARIANA GRANDE,
2,2,2,12,Without Me                                                  HALSEY,2018-10-20,18,2,12,Without Me,HALSEY,
3,7,3,6,All I Want For Christmas Is You                             MARIAH CAREY,2018-12-01,29,3,6,All I Want For Christmas Is You, MARIAH CAREY,
4,3,1,21,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
5,4,4,10,Sunflower (Spider-Man: Into The Spider-Verse)               POST MALONE & SWAE LEE,2018-11-03,9,4,10,Sunflower (Spider-Man: Into The Spider-Verse), POST MALONE & SWAE LEE,
6,6,5,19,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
7,5,3,19,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
8,13,8,5,Jingle Bell Rock                                            BOBBY HELMS,2018-12-08,33,8,5,Jingle Bell Rock,BOBBY HELMS,
9,11,9,5,Rockin' Around The Christmas Tree                           BRENDA LEE,2018-12-08,23,9,5,Rockin' Around The Christmas Tree, BRENDA LEE,
10,12,10,5,A Holly Jolly Christmas                                     BURL IVES,2018-12-08,26,10,5,A Holly Jolly Christmas, BURL IVES,
11,17,11,5,The Christmas Song (Merry Christmas To You)                 NAT KING COLE,2018-12-08,39,11,5,The Christmas Song (Merry Christmas To You), NAT KING COLE,
12,9,4,15,Drip Too Hard                                               LIL BABY & GUNNA,2018-09-29,28,4,15,Drip Too Hard, LIL BABY & GUNNA,
13,10,10,5,It's The Most Wonderful Time Of The Year                    ANDY WILLIAMS,2018-12-08,21,10,5,It's The Most Wonderful Time Of The Year,ANDY WILLIAMS,
14,15,1,31,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
15,8,2,11,Zeze                                                        KODAK BLACK featuring TRAVIS SCOTT & OFFSET,2018-10-27,2,2,11,Zeze,KODAK BLACK featuring TRAVIS SCOTT & OFFSET,
16,28,16,4,Rudolph The Red-Nosed Reindeer                              GENE AUTRY,2018-12-15,36,16,4,Rudolph The Red-Nosed Reindeer,GENE AUTRY,
17,16,6,18,Mo Bamba                                                    SHECK WES,2018-09-08,82,6,18,Mo Bamba,SHECK WES,
18,14,11,15,Wake Up In The Sky                                          GUCCI MANE & BRUNO MARS & KODAK BLACK,2018-09-29,30,11,15,Wake Up In The Sky,GUCCI MANE & BRUNO MARS & KODAK BLACK,
19,30,13,10,Money                                                       CARDI B,2018-11-03,54,13,10,Money, CARDI B,
20,32,20,4,"Let It Snow, Let It Snow, Let It Snow                       DEAN MARTIN",2018-12-15,41,20,4,"Let It Snow, Let It Snow, Let It Snow", DEAN MARTIN,
21,18,16,24,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
22,19,12,19,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
23,21,3,35,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
24,20,7,30,Youngblood                                                  5 SECONDS OF SUMMER,2018-06-16,96,7,30,Youngblood,5 SECONDS OF SUMMER,
25,27,25,5,Last Christmas                                              WHAM!,2018-12-08,43,25,5,Last Christmas,WHAM!,
26,33,26,3,Sleigh Ride                                                 THE RONETTES,2018-12-22,41,26,3,Sleigh Ride, THE RONETTES,
27,23,2,33,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
28,35,28,3,Here Comes Santa Claus (Down Santa Claus Lane)              GENE AUTRY,2018-12-22,40,28,3,Here Comes Santa Claus (Down Santa Claus Lane),GENE AUTRY,
29,34,29,3,Feliz Navidad                                               JOSE FELICIANO,2018-12-22,42,29,3,Feliz Navidad, JOSE FELICIANO,
30,25,11,13,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",2018-10-13,27,11,13,Taki Taki," DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",
31,26,5,11,MIA                                                         BAD BUNNY featuring DRAKE,2018-10-27,5,5,11,MIA, BAD BUNNY featuring DRAKE,
32,41,32,2,(There's No Place Like) Home For The Holidays               PERRY COMO,2018-12-29,41,32,2,(There's No Place Like) Home For The Holidays, PERRY COMO,
33,31,27,15,Leave Me Alone                                              FLIPP DINERO,2018-09-29,96,27,15,Leave Me Alone,FLIPP DINERO,
34,48,34,2,White Christmas                                             BING CROSBY,2018-12-29,48,34,2,White Christmas, BING CROSBY,
35,42,35,2,It's Beginning To Look A Lot Like Christmas                 PERRY COMO & THE FONTANE SISTERS,2018-12-29,42,35,2,It's Beginning To Look A Lot Like Christmas, PERRY COMO & THE FONTANE SISTERS,
36,22,6,4,Going Bad                                                   MEEK MILL featuring DRAKE,2018-12-15,6,6,4,Going Bad, MEEK MILL featuring DRAKE,
37,NEW,37,1,A Lot                                                       21 SAVAGE,2019-01-05,37,37,1,A Lot, 21 SAVAGE,
